web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546971202-293","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=6","Out Of StockAdd to CompareSamsung Z2 (Gold, 8 GB)3.511,702 Ratings & 1,950 Reviews1 GB RAM | 8 GB ROM |10.16 cm (4 inch) Display5MP Rear Camera1500 Battery1 Year for Mobile & 6 Months Accessories Warranty₹4,790Up to ₹4,750 Off on ExchangeEMI starting from ₹160/monthOffersNo Cost EMI","https://www.flipkart.com/samsung-z2-gold-8-gb/p/itmenkygvprd5dwt?pid=MOBENKYGHFUHT6BH&srno=b_6_127&otracker=browse&lid=LSTMOBENKYGHFUHT6BHFMEGIX&fm=organic&iid=9655f36d-70e9-4eed-a932-fac706b9736b.MOBENKYGHFUHT6BH.SEARCH","Samsung Z2 (Gold, 8 GB)  (1 GB RAM)","₹4,790","null","1500 Battery","null","null","Gold","1 GB","8 GB","1 Year for Mobile & 6 Months Accessories Warranty","3.5","3.3","2.9","2.7","4.3","All 1950 reviews","https://www.flipkart.com/samsung-z2-gold-8-gb/product-reviews/itmenkygvprd5dwt?pid=MOBENKYGHFUHT6BH"
"1546971790-418","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=1","ON OFFERAdd to CompareSamsung Galaxy Note 9 (Alpine White, 128 GB)4.61,372 Ratings & 195 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display12MP + 12MP | 8MP Front Camera4000 Lithium-ion BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹67,900₹73,6007% offUp to ₹14,900 Off on ExchangeEMI starting from ₹2256/monthOffersSpecial PriceBank Offer","https://www.flipkart.com/samsung-galaxy-note-9-alpine-white-128-gb/p/itmfbcc5prwh2gbj?pid=MOBFBCC549GUDSXS&srno=b_1_2&otracker=browse&lid=LSTMOBFBCC549GUDSXSARLV4K&fm=organic&iid=26c6a584-e9d4-47f8-b343-30de1528b916.MOBFBCC549GUDSXS.SEARCH","Samsung Galaxy Note 9 (Alpine White, 128 GB)  (6 GB RAM)","₹67,900","4-5 days","4000 Lithium-ion Battery","TrueComRetail","4.6","Alpine White","6 GB","128 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.6","4.9","4.3","4.5","4.0","All 195 reviews","https://www.flipkart.com/samsung-galaxy-note-9-alpine-white-128-gb/product-reviews/itmfbcc5prwh2gbj?pid=MOBFBCC549GUDSXS"
"1546971415-334","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=4","Add to CompareSamsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)4.21,03,242 Ratings & 17,918 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) HD Display13MP Rear Camera | 5MP Front Camera3100 Li-Ion BatteryQualcomm Snapdragon 410 Quad Core 1.2GHz ProcessorBrand Warranty of 1 Year₹12,999EMI starting from ₹432/month","https://www.flipkart.com/samsung-galaxy-j5-6-new-2016-edition-white-16-gb/p/itmeuydaawfvqc8h?pid=MOBEG4XWJG7F9A6Z&srno=b_4_86&otracker=browse&lid=LSTMOBEG4XWJG7F9A6ZCQOR3G&fm=organic&iid=4b1dc00d-caf1-4a0d-9023-2d10a094dcf0.MOBEG4XWJG7F9A6Z.SEARCH","Samsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)  (2 GB RAM)","₹12,999","4-5 days","3100 Li-Ion Battery","NIKVIS","2.1","White","2 GB","16 GB","Brand Warranty of 1 Year","4.2","4.1","4.2","4.5","4.6","All 17918 reviews","https://www.flipkart.com/samsung-galaxy-j5-6-new-2016-edition-white-16-gb/product-reviews/itmeuydaawfvqc8h?pid=MOBEG4XWJG7F9A6Z"
"1546971187-290","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=6","Out Of StockAdd to CompareSamsung Galaxy A9 Pro (Gold, 32 GB)4.33,346 Ratings & 813 Reviews4 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.24 cm (6 inch) Full HD Display16MP Rear Camera | 8MP Front Camera5000 Li-Ion BatteryQualcomm Snapdragon 652 Octa Core 1.8GHz ProcessorBrand Warranty of 1 Year₹19,980EMI starting from ₹664/month","https://www.flipkart.com/samsung-galaxy-a9-pro-gold-32-gb/p/itmemzhfwbzksmre?pid=MOBEMZHFNAEVAJK9&srno=b_6_130&otracker=browse&lid=LSTMOBEMZHFNAEVAJK9FTIMBA&fm=organic&iid=ddb506da-62bb-43a0-975d-4b40870bb551.MOBEMZHFNAEVAJK9.SEARCH","Samsung Galaxy A9 Pro (Gold, 32 GB)  (4 GB RAM)","₹19,980","null","5000 Li-Ion Battery","null","null","Gold","4 GB","32 GB","Brand Warranty of 1 Year","4.3","3.8","4.2","4.2","3.7","All 813 reviews","https://www.flipkart.com/samsung-galaxy-a9-pro-gold-32-gb/product-reviews/itmemzhfwbzksmre?pid=MOBEMZHFNAEVAJK9"
"1546971173-286","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=6","Out Of StockAdd to CompareSamsung Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)4.1133 Ratings & 32 Reviews4 GB RAM | 32 GB ROM |14.48 cm (5.7 inch) Quad HD Display16MP Rear Camera | 5MP Front Camera3000 Li-Polymer BatteryExynos 7420 64-bit ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹34,999EMI starting from ₹1163/month","https://www.flipkart.com/samsung-galaxy-note-5-dual-sim-black-sapphire-32-gb/p/itmehtf7dzbnhbxh?pid=MOBEFZCAM98UGRCJ&srno=b_6_134&otracker=browse&lid=LSTMOBEFZCAM98UGRCJYPXSFL&fm=organic&iid=7c8d6a78-de0e-4e75-9b86-84aa76db7185.MOBEFZCAM98UGRCJ.SEARCH","Samsung Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)  (4 GB RAM)","₹34,999","null","3000 Li-Polymer Battery","null","null","Black Sapphire","4 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.1","null","null","null","null","All 32 reviews","https://www.flipkart.com/samsung-galaxy-note-5-dual-sim-black-sapphire-32-gb/product-reviews/itmehtf7dzbnhbxh?pid=MOBEFZCAM98UGRCJ"
"1546971288-315","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=5","ON OFFERAdd to CompareSamsung Guru 12004.260,827 Ratings & 7,027 ReviewsNA ROM |3.81 cm (1.5 inch) NA Display800 Battery0 0 0 0 Processor Processor1 Year for Mobile & 6 Months for Accessories₹1,100₹1,26012% offOffersNo Cost EMISpecial Price","https://www.flipkart.com/samsung-guru-1200/p/itmeb6w98vmhffjy?pid=MOBDA2CFCQ6CFHTZ&srno=b_5_105&otracker=browse&lid=LSTMOBDA2CFCQ6CFHTZKIMI91&fm=organic&iid=389067a2-2f10-4af6-be03-a65df3dcaa23.MOBDA2CFCQ6CFHTZ.SEARCH","Samsung Guru 1200  (Black)","₹1,100","11 Jan, Friday","0 0 0 0 Processor Processor","TrueComRetail","4.6","Black","null","NA","1 Year for Mobile & 6 Months for Accessories","4.2","3.6","4.6","4.7","4.4","All 7027 reviews","https://www.flipkart.com/samsung-guru-1200/product-reviews/itmeb6w98vmhffjy?pid=MOBDA2CFCQ6CFHTZ"
"1546971151-281","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=6","Out Of StockAdd to CompareSamsung Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB)4.374,084 Ratings & 11,797 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 5MP Front Camera3300 Li-Ion BatteryExynos 7870 Octa Core 1.6GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹13,800Up to ₹13,000 Off on ExchangeEMI starting from ₹459/monthOffersNo Cost EMI","https://www.flipkart.com/samsung-galaxy-j7-6-new-2016-edition-gold-16-gb/p/itmeuyd8sxdssmdv?pid=MOBEG4XWDK4WBGNU&srno=b_6_139&otracker=browse&lid=LSTMOBEG4XWDK4WBGNUARSCAX&fm=organic&iid=65a192c9-111f-4774-ba32-86ea8175938c.MOBEG4XWDK4WBGNU.SEARCH","Samsung Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB)  (2 GB RAM)","₹13,800","null","3300 Li-Ion Battery","null","null","Gold","2 GB","16 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","4.5","4.8","4.4","4.7","All 11797 reviews","https://www.flipkart.com/samsung-galaxy-j7-6-new-2016-edition-gold-16-gb/product-reviews/itmeuyd8sxdssmdv?pid=MOBEG4XWDK4WBGNU"
"1546971146-280","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=6","Out Of StockAdd to CompareSamsung Galaxy A7 2016 Edition (Gold, 16 GB)41,499 Ratings & 393 Reviews3 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera | 5MP Front Camera3300 Li-Ion BatteryExynos ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹17,490Up to ₹14,900 Off on ExchangeEMI starting from ₹581/monthOffersNo Cost EMI","https://www.flipkart.com/samsung-galaxy-a7-2016-gold-16-gb/p/itmeg76yvsfst5j5?pid=MOBEG76Y6RZEJHTM&srno=b_6_140&otracker=browse&lid=LSTMOBEG76Y6RZEJHTMUE9X76&fm=organic&iid=c487cbde-7e10-4413-b66b-4ea8463f7db1.MOBEG76Y6RZEJHTM.SEARCH","Samsung Galaxy A7 2016 Edition (Gold, 16 GB)  (3 GB RAM)","₹17,490","null","3300 Li-Ion Battery","null","null","Gold","3 GB","16 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4","null","null","null","null","All 393 reviews","https://www.flipkart.com/samsung-galaxy-a7-2016-gold-16-gb/product-reviews/itmeg76yvsfst5j5?pid=MOBEG76Y6RZEJHTM"
"1546971569-368","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=3","Add to CompareSamsung Galaxy J7 Nxt (Gold, 32 GB)4.31,912 Ratings & 271 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 5MP Front Camera3000 BatteryExynos Octa Core 1.6 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹10,900EMI starting from ₹363/month","https://www.flipkart.com/samsung-galaxy-j7-nxt-gold-32-gb/p/itmfytd7qyhmcscs?pid=MOBFYTD7BF99TNAK&srno=b_3_52&otracker=browse&lid=LSTMOBFYTD7BF99TNAKH4DHB9&fm=organic&iid=0820e27a-c284-47db-aeda-636958326b1e.MOBFYTD7BF99TNAK.SEARCH","Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)","₹12,900","7-8 days","3000 Battery","HUNNYTELECOM","null","Gold","3 GB","32 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.3","4.6","5.0","4.8","4.7","All 271 reviews","https://www.flipkart.com/samsung-galaxy-j7-nxt-gold-32-gb/product-reviews/itmfytd7qyhmcscs?pid=MOBFYTD7BF99TNAK"
"1546971101-271","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DSamsung&sid=tyy%2F4io&sort=recency_desc&wid=1.productCard.PMU_V2&page=7","Out Of StockAdd to CompareSamsung Galaxy J2 (Gold, 8 GB)4.118,785 Ratings & 2,245 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 128 GB11.94 cm (4.7 inch) quarter HD Display5MP Rear Camera | 2MP Front Camera2000 BatteryExynos 3475 Quad Core 1.3GHz Processor1 Year Manufacturer Warranty₹7,400Up to ₹7,350 Off on ExchangeEMI starting from ₹246/monthOffersNo Cost EMI","https://www.flipkart.com/samsung-galaxy-j2-gold-8-gb/p/itmedwnguwumpdwg?pid=MOBEBFQEAFUN9F5E&srno=b_7_149&otracker=browse&lid=LSTMOBEBFQEAFUN9F5EG772WP&fm=organic&iid=d8b8e0a1-77d1-42d1-99f0-2c1f89adc077.MOBEBFQEAFUN9F5E.SEARCH","Samsung Galaxy J2 (Gold, 8 GB)  (1 GB RAM)","₹7,400","null","2000 Battery","null","null","Gold","1 GB","8 GB","1 Year Manufacturer Warranty","4.1","null","null","null","null","All 2245 reviews","https://www.flipkart.com/samsung-galaxy-j2-gold-8-gb/product-reviews/itmedwnguwumpdwg?pid=MOBEBFQEAFUN9F5E"
