,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,review_link,brand,no._of_reviews,positive_reviews_score,negative_reviews_score,total_reviews_score
158,https://www.flipkart.com/samsung-galaxy-j6-plus-red-64-gb/p/itmf94bxfhs4sjzm?pid=MOBF94BXFS3WSHMG&srno=b_1_15&otracker=browse&lid=LSTMOBF94BXFS3WSHMGH59SRY&fm=organic&iid=9ed981e0-4c34-41bf-93e8-69db296b1e66.MOBF94BXFS3WSHMG.SEARCH,"Samsung Galaxy J6 Plus (Red, 64 GB)  (4 GB RAM)","?12,990",4-5 days,3300 Battery,TrueComRetail,4.6,Red,4 GB,64 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,null,null,null,null,https://www.flipkart.com/samsung-galaxy-j6-plus-red-64-gb/product-reviews/itmf94bxfhs4sjzm?pid=MOBF94BXFS3WSHMG,samsung,139,710,290,420
159,https://www.flipkart.com/samsung-galaxy-alpha-charcoal-black-32-gb/p/itmeyfhggj8bkr6z?pid=MOBEYAW2RHYDBA2G&srno=b_9_204&otracker=browse&lid=LSTMOBEYAW2RHYDBA2GGHOQ0P&fm=organic&iid=191e83de-a68b-4f8d-9324-ed53a99ad054.MOBEYAW2RHYDBA2G.SEARCH,"Samsung Galaxy Alpha (Charcoal Black, 32 GB)  (2 GB RAM)","?19,999",null,1860 Battery,null,null,Charcoal Black,2 GB,32 GB,1 Year for Mobile & 6 Months for Accessories,3.6,null,null,null,null,https://www.flipkart.com/samsung-galaxy-alpha-charcoal-black-32-gb/product-reviews/itmeyfhggj8bkr6z?pid=MOBEYAW2RHYDBA2G,samsung,99,700,300,400
160,https://www.flipkart.com/samsung-galaxy-j7-prime-black-16-gb/p/itmemnhgfyzxzd7t?pid=MOBEMNHF97T55KYZ&srno=b_5_107&otracker=browse&lid=LSTMOBEMNHF97T55KYZ3NHTN0&fm=organic&iid=6865497a-3c69-423a-8ff1-758df59ea30b.MOBEMNHF97T55KYZ.SEARCH,"Samsung Galaxy J7 Prime (Black, 16 GB)  (3 GB RAM)","?18,328",null,3300 Battery,OysterMobile,null,Black,3 GB,16 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,3.8,4.0,3.8,4.2,https://www.flipkart.com/samsung-galaxy-j7-prime-black-16-gb/product-reviews/itmemnhgfyzxzd7t?pid=MOBEMNHF97T55KYZ,samsung,3321,870,130,740
161,https://www.flipkart.com/samsung-galaxy-core-prime-charcoal-grey-8-gb/p/itmeg7c7uxyhj56z?pid=MOBE3YHYVD8WSJDX&srno=b_9_197&otracker=browse&lid=LSTMOBE3YHYVD8WSJDXC62FRY&fm=organic&iid=cd11b747-e5a4-47f0-90e6-775c9cf786bf.MOBE3YHYVD8WSJDX.SEARCH,"Samsung Galaxy Core Prime (Charcoal Grey, 8 GB)  (1 GB RAM)","?7,139",null,2000 Li-Ion Battery,null,null,Charcoal Grey,1 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,4,null,null,null,null,https://www.flipkart.com/samsung-galaxy-core-prime-charcoal-grey-8-gb/product-reviews/itmeg7c7uxyhj56z?pid=MOBE3YHYVD8WSJDX,samsung,588,980,20,960
162,https://www.flipkart.com/samsung-galaxy-note-3-jet-black-32-gb/p/itmebzvtr7z6hfum?pid=MOBDZQ2EGPHQPJCH&srno=b_10_225&otracker=browse&lid=LSTMOBDZQ2EGPHQPJCHF9CGAK&fm=organic&iid=eada6b94-8972-4759-b36b-5c1fd8476b5e.MOBDZQ2EGPHQPJCH.SEARCH,"Samsung Galaxy Note 3 (Jet Black, 32 GB)  (3 GB RAM)","?17,950",null,3200 Li-Ion Battery,null,null,Jet Black,3 GB,32 GB,1 Year for Mobile & 6 Months for Accessories,4.1,null,null,null,null,https://www.flipkart.com/samsung-galaxy-note-3-jet-black-32-gb/product-reviews/itmebzvtr7z6hfum?pid=MOBDZQ2EGPHQPJCH,samsung,676,640,360,280
163,https://www.flipkart.com/samsung-guru-music-2/p/itmf54p4q2z3kudy?pid=MOBF54P4G66ZBJ9K&srno=b_2_46&otracker=browse&lid=LSTMOBF54P4G66ZBJ9KEG1WAF&fm=organic&iid=e6842022-3355-4094-8330-daf05cad6027.MOBF54P4G66ZBJ9K.SEARCH,Samsung Guru Music 2  (Gold),"?1,699",7-8 days,null,MOBILEHOSPITAL,2.8,Gold,null,,1 Year Manufacturer Warranty,4.3,3.2,4.5,3.6,4.6,https://www.flipkart.com/samsung-guru-music-2/product-reviews/itmf54p4q2z3kudy?pid=MOBF54P4G66ZBJ9K,samsung,8922,750,250,500
164,https://www.flipkart.com/samsung-galaxy-on7-black-8-gb/p/itmeuyd9c5adb58r?pid=MOBECCA5SMRSKCNY&srno=b_5_109&otracker=browse&lid=LSTMOBECCA5SMRSKCNYYRLOJD&fm=organic&iid=97928fca-2aab-493f-8720-a7ab89ba07d3.MOBECCA5SMRSKCNY.SEARCH,"Samsung Galaxy On7 (Black, 8 GB)  (1.5 GB RAM)","?9,977",null,3000 Li-Ion Battery,DEVIMOBILESS,null,Black,1.5 GB,8 GB,Brand Warranty of 1 Year,4.2,4.2,4.3,4.3,4.8,https://www.flipkart.com/samsung-galaxy-on7-black-8-gb/product-reviews/itmeuyd9c5adb58r?pid=MOBECCA5SMRSKCNY,samsung,25673,890,110,780
165,https://www.flipkart.com/samsung-grand-prime-grey-8-gb/p/itmeyfhgsmjvnbhz?pid=MOBEYAW2ZYEVJ5TA&srno=b_9_206&otracker=browse&lid=LSTMOBEYAW2ZYEVJ5TATVVEXR&fm=organic&iid=9d9b47d0-44f4-42c3-aa18-5532f85639d4.MOBEYAW2ZYEVJ5TA.SEARCH,"Samsung Grand Prime (Grey, 8 GB)  (1 GB RAM)","?8,500",null,2600 Li-Ion Battery,null,null,Grey,1 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,4,null,null,null,null,https://www.flipkart.com/samsung-grand-prime-grey-8-gb/product-reviews/itmeyfhgsmjvnbhz?pid=MOBEYAW2ZYEVJ5TA,samsung,297,850,150,700
166,https://www.flipkart.com/samsung-galaxy-grand-duos-elegant-white-8-gb/p/itmdv6eugyng2yz2?pid=MOBDN4ZDGSKXYQGK&srno=b_10_226&otracker=browse&lid=LSTMOBDN4ZDGSKXYQGKKJ4BRT&fm=organic&iid=c81e9606-b273-4b58-9d94-67b08b3e9491.MOBDN4ZDGSKXYQGK.SEARCH,"Samsung Galaxy Grand Duos (Elegant White, 8 GB)  (1 GB RAM)","?19,521",null,2100 Li-Ion Battery,null,null,"2 Flipcover (White and Blue Color), Headset, Handset, Data Cable, Battery, Charger",1 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,3.9,null,null,null,null,https://www.flipkart.com/samsung-galaxy-grand-duos-elegant-white-8-gb/product-reviews/itmdv6eugyng2yz2?pid=MOBDN4ZDGSKXYQGK,samsung,459,700,300,400
167,https://www.flipkart.com/samsung-galaxy-mega-5-8-black-8-gb/p/itmeuyd5gxfj5kfp?pid=MOBDZSDJAPQXGAWN&srno=b_5_100&otracker=browse&lid=LSTMOBDZSDJAPQXGAWN7II1F4&fm=organic&iid=7dce0d05-4bec-4829-b7e1-f80e32121c60.MOBDZSDJAPQXGAWN.SEARCH,"Samsung Galaxy Mega 5.8 (Black, 8 GB)  (1.5 GB RAM)","?12,500",2-3 days,2600 Li-Ion Battery,CRAZY4MOBILES,3.4,Black,1.5 GB,8 GB,1 Year for Mobile & 6 Months for Accessories,3.7,null,null,null,null,https://www.flipkart.com/samsung-galaxy-mega-5-8-black-8-gb/product-reviews/itmeuyd5gxfj5kfp?pid=MOBDZSDJAPQXGAWN,samsung,111,660,340,320
